序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
693,002209,达意隆,广州达意隆包装机械股份有限公司,广东,广州市,--,--,1294,2008-01-30,--,,印刷包装设备,液体包装机械及自动化设备,从事液体包装机械的研发、生产和销售。
694,002210,飞马国际,深圳市飞马国际供应链股份有限公司,广东,深圳市,--,--,306,2008-01-30,--,,物流,综合物流服务、贸易执行服务、环保新能源行业,供应链管理服务和环保新能源业务。
695,002211,宏达新材,上海宏达新材料股份有限公司,上海,上海市,--,--,405,2008-02-01,--,,其他化学制品,硅橡胶系列产品、专网无线通信产品,硅橡胶及其制品的加工销售、专网通信设备的加工、组装、检测及销售业务等。
696,002212,天融信,天融信科技集团股份有限公司,广东,汕头市,--,--,5357,2008-02-01,--,,电线电缆,网络安全、大数据、云服务,提供网络安全及大数据产品和安全服务。
697,002213,大为股份,深圳市大为创新科技股份有限公司,广东,深圳市,--,--,218,2008-02-01,--,,汽车零部件,电涡流缓速器、液力缓速器、通信设备、计算机及其他电子设备、手机配件、房屋租赁、缓速器配件、行车记录仪,汽车制造业、新一代信息技术业。
698,002214,大立科技,浙江大立科技股份有限公司,浙江,杭州市,--,--,816,2008-02-18,--,,电子零部件,红外热像仪系列产品、巡检机器人,非制冷焦平面探测器、红外热像仪、红外热成像系统的研发、生产和销售。
699,002215,诺普信,深圳诺普信农化股份有限公司,广东,深圳市,--,--,3113,2008-02-18,--,,农药,农药制剂、植物营养,研发、生产、销售环境友好农药制剂和植物营养等农业投入品，为客户提供专业化农业综合服务。
700,002216,三全食品,三全食品股份有限公司,河南,郑州市,--,--,7161,2008-02-20,--,,冷冻食品,速冻面米制品、速冻调制食品、冷藏及短保类,速冻面米制品、速冻调制食品、冷藏产品、常温产品等的研发、生产和销售。
701,002217,合力泰,合力泰科技股份有限公司,福建,福州市,--,--,20798,2008-02-20,--,,显示器件,触控显示类产品、光电传感类产品、TN/STN/电子纸显示类产品、FPC产品、化工类产品、其他显示产品,触屏显示业务和化工业务
702,002218,拓日新能,深圳市拓日新能源科技股份有限公司,广东,深圳市,--,--,1226,2008-02-28,--,,电池,晶体硅太阳能电池芯片及组件、电费、光伏太阳能玻璃、其他光伏类产品,"高效太阳电池,高效光伏组件,多样化便携型太阳能电源及太阳能照明系统,光伏玻璃,光伏胶膜材料,光伏电站支架等产品的研发与生产,分布式及地面光伏电站的设计,建设及运维等业务。"
703,002219,*ST恒康,恒康医疗集团股份有限公司,甘肃,陇南市,--,--,7576,2008-03-06,--,,医疗服务,医疗服务、药品制造,医疗服务和药品制造。
704,002221,东华能源,东华能源股份有限公司,江苏,南京市,--,--,1903,2008-03-06,--,,石油加工,液化石油气、仓储,生产、销售液化气并提供相关售后服务。
705,002222,福晶科技,福建福晶科技股份有限公司,福建,福州市,--,--,1325,2008-03-19,--,,电子元件,晶体元器件、精密光学元件、激光器件,激光及光通讯领域各类晶体元器件、精密光学元件及激光器件的研发、生产和销售。
706,002223,鱼跃医疗,江苏鱼跃医疗设备股份有限公司,江苏,镇江市,--,--,5525,2008-04-18,--,,医疗器械,医用呼吸与供氧、医用临床、家用医疗、外贸产品,研发、制造和销售医疗器械产品及提供相关解决方案。
707,002224,三力士,三力士股份有限公司,浙江,绍兴市,--,--,888,2008-04-25,--,,其他橡胶制品,橡胶V带,橡胶制品的研发、生产与销售。
708,002225,濮耐股份,濮阳濮耐高温材料(集团)股份有限公司,河南,濮阳市,--,--,4577,2008-04-25,--,,耐火材料,功能性耐火材料、定型耐火材料、不定形耐火材料,主要从事研制、生产和销售定型、不定形耐火材料，功能耐火材料及配套机构，并承担各种热工设备用耐火材料设计、安装、施工服务等整体承包业务。
709,002226,江南化工,安徽江南化工股份有限公司,安徽,合肥市,64.81亿,12.01亿,6962,2008-05-06,--,,民爆用品,民爆业务、新能源业务,主要从事工业炸药、工业雷管、工业索类等民用爆炸物品的研发、生产、销售，以及为客户提供工程施工服务；风力发电、光伏发电的项目开发、建设及运营。盾安新能源专业从事风电场、光伏电站开发、建设、运营。
710,002227,奥特迅,深圳奥特迅电力设备股份有限公司,广东,深圳市,--,--,553,2008-05-06,--,,储能设备,电力用直流和交流一体化不间断电源设备、运行设备维护、新能源电动汽车充电、电能质量治理设 备,电力自动化电源业务、电动汽车充电业务和电能质量治理业务。
711,002228,合兴包装,厦门合兴包装印刷股份有限公司,福建,厦门市,--,--,10362,2008-05-08,--,,包装印刷,包装制造、产业链服务,从事中高档瓦楞纸箱、纸板及缓冲包装材料的研发与设计、生产、销售及服务。
712,002229,鸿博股份,鸿博股份有限公司,福建,福州市,--,--,1066,2008-05-08,--,,包装印刷,票证产品、包装办公用纸,安全印务、彩票新渠道服务、书刊印刷与高端包装印刷等。
713,002230,科大讯飞,科大讯飞股份有限公司,安徽,合肥市,--,--,11006,2008-05-12,--,,行业应用软件,讯飞开放平台及消费者业务、智慧教育、智慧医疗、智慧城市、智慧金融、智慧汽车,"从事语音及语言、自然语言理解、机器学习推理及自主学习等人工智能核心技术研究,人工智能产品研发和行业应用落地。"
714,002231,奥维通信,奥维通信股份有限公司,辽宁,沈阳市,5.61亿,2332.94万,163,2008-05-12,--,,通信终端设备,军工信息化产品及解决方案、网络优化覆盖设备及解决方案,从事军队电子信息化、音视频指挥系统、网络通信等业务领域并提供专业解决方案。
